abstract,categories
the factorially normalized bernoulli polynomials b_nx b_nxn are known to be characterized by b_x and b_nx for n is the antiderivative of b_nx subject to int_ b_nx dx we offer a related characterization b_x x and n b_nx for n is the nfold circular convolution of b_x with itself equivalently n b_nx is the probability density at x in of the fractional part of a sum of n independent random variables each with the beta probability density x at x in this result has a novel combinatorial analog the em bernoulli clock mark the hours of a n hour clock by a uniform random permutation of the multiset ldots nn meaning pick two different hours uniformly at random from the n hours and mark them then pick two different hours uniformly at random from the remaining n hours and mark them and so on starting from hour n move clockwise to the first hour marked continue clockwise to the first hour marked and so on continuing clockwise around the bernoulli clock until the first of the two hours marked n is encountered at a random hour i_n between and n we show that for each positive integer n the event i_n has probability n b_nn where n b_n b_n is the nth bernoulli number for le k le n the difference delta_nk n p i_n k is a polynomial function of k with the surprising symmetry delta_n n k n delta_nk which is a combinatorial analog of the well known symmetry of bernoulli polynomials b_nx n b_nx,math
we propose a simple uniform lower bound on the spacings between the successive zeros of the laguerre polynomials l_nalpha for all alpha our bound is sharp regarding the order of dependency on n and alpha in various ranges in particular we recover the orders given in citeahmed for alpha in,math
we study truncated point schemes of connected graded algebras as families over the parameter space of varying relations for the algebras proving that the families are flat over the open dense locus where the point schemes achieve the expected ie minimal dimension when the truncated point scheme is zerodimensional we obtain its number of points counted with multiplicity via a chow ring computation this latter application in particular confirms a conjecture of brazfield to the effect that a generic twogenerator tworelator dimensional artinschelter regular algebra has seventeen truncated point modules of length six,math
fourdimensional d printing a new technology emerged from additive manufacturing d printing is widely known for its capability of programming postfabrication shapechanging into artifacts fused deposition modeling fdmbased d printing in particular uses thermoplastics to produce artifacts and requires computational analysis to assist the design processes of complex geometries however these artifacts are weak against structural loads and the design quality can be limited by less accurate material models and numerical simulations to address these issues this paper propounds a composite structure design made of two materials polylactic acid pla and carbon fiber reinforced pla cfpla to increase the structural strength of d printed artifacts and a workflow composed of several physical experiments and series of dynamic mechanical analysis dma to characterize materials we apply this workflow to d printed samples fabricated with different printed parameters to accurately characterize the materials and implement a sequential finite element analysis fea to achieve accurate simulations the accuracy of deformation induced by the triggering process is both computationally and experimentally verified with several creative design examples and the confidence interval of the accuracy is we believe the presented workflow is essential to the combination of geometry material mechanism and design and has various potential applications,cs
we show that the dth secant variety of a projective curve of genus g imbedded in projective space by a complete linear system of degree gm with m at least d does not contain linear spaces of dimension bigger than d and that the only linear subspaces of dimension d contained in it are the obvious ones,math
in recent years badminton analytics has drawn attention due to the advancement of artificial intelligence and the efficiency of data collection while there is a line of effective applications to improve and investigate player performance there are only a few public badminton datasets that can be used for researchers outside the badminton domain existing badminton singles datasets focus on specific matchups however they cannot provide comprehensive studies on different players and various matchups in this paper we provide a badminton singles dataset shuttleset which is collected from highranking matches in shuttleset consists of strokes in rallies in the training set strokes in rallies in the validation set and strokes in rallies in the testing set with detailed strokelevel metadata within a rally to benchmark existing work with shuttleset we test the stateoftheart stroke forecasting approach shuttlenet with the corresponding stroke forecasting task ie predict the future strokes based on the given strokes of each rally we also hold a challenge track forecasting future turnbased strokes in badminton rallies at coachai badminton challenge to boost researchers to tackle this problem the baseline codes and the dataset will be made available on httpsgithubcomwywywangcoachaiprojectstreemaincoachaichallengeijcai,cs
the influence that the kinematics of pitching and heaving d airfoils have on the aerodynamic forces is investigated using direct numerical simulations and a force decomposition algorithm large amplitude motions are considered of the order of one chord with moderate reynolds numbers and reduced frequencies of order varying the mean pitch angle and the phase shift between the pitching and heaving motions our results show that the surface vorticity contribution viscous effects to the aerodynamic force is negligible compared to the contributions from the body motion fluid inertia and the vorticity within the flow circulation for the range of parameters considered here the latter tends to be instantaneously oriented in the direction normal to the chord of the airfoil based on the results discussed in the paper a reduced order model for the instantaneous aerodynamic force is proposed taking advantage of the force decomposition and the chordnormal orientation of the contribution from vorticity within the flow to the total aerodynamic force the predictions of the proposed model are compared to those of a similar model from the literature showing a noticeable improvement on the prediction of the mean thrust and a smaller improvement on the prediction of mean lift and the instantaneous force coefficients,physics
we address the problem of evaluating the transfer entropy te produced by biochemical reactions from experimentally measured data although these reactions are generally nonlinear and nonstationary processes making it challenging to achieve accurate modeling gaussian approximation can facilitate the te assessment only by estimating covariance matrices using multiple data obtained from simultaneously measured time series representing the activation levels of biomolecules such as proteins nevertheless the nonstationary nature of biochemical signals makes it difficult to theoretically assess the sampling distributions of te which are necessary for evaluating the statistical confidence and significance of the datadriven estimates we resolve this difficulty by computationally assessing the sampling distributions using techniques from computational statistics the computational methods are tested by using them in analyzing data generated from a theoretically tractable timevarying signal model which leads to the development of a method to screen only statistically significant estimates the usefulness of the developed method is examined by applying it to real biological data experimentally measured from the erbbrasmapk system that superintends diverse cell fate decisions a comparison between cells containing wildtype and mutant proteins exhibits a distinct difference in the time evolution of te while apparent difference is hardly found in average profiles of the raw signals such comparison may help in unveiling important pathways of biochemical reactions,physics
in this paper we derive the large deviations principle for the potts model on the complete bipartite graph k_nn as n increases to infinity next for the potts model on k_nn we provide an extension of the method of aggregate path coupling that was originally developed in kovchegov et al for the meanfield blumecapel model and in kovchegov and otto for a general meanfield setting that included the generalized curieweisspotts model analyzed in cuff et al we use the aggregate path coupling method to identify and prove the interface value beta_s separating the rapid and slow mixing regimes for the glauber dynamics of the potts model on k_nn,math
the threebody parameterbp ascriptscriptstyle_scriptscriptstyle is crucial to understanding efimov physics and a universal bp has been shown in experiments and theory in ultracold homonuclear gases the bp of heteronuclear systems was predicted to possess much richer properties than the homonuclear counterparts for the large parameter space in this work we investigate the universal properties of ascriptscriptstyle_scriptscriptstyle for the heavyheavylighthhl system with negative intraspecies scattering length a_scriptscriptstyle hh we find that ascriptscriptstyle_scriptscriptstyle follows a universal behavior determined by the van der waalsvdw interaction and the mass ratio an analytic formula of ascriptscriptstyle_scriptscriptstyle is given as a function of a_scriptscriptstyle hh which allows an intuitive understanding of how does ascriptscriptstyle_scriptscriptstyle depend on the mass ratio and the vdw length r_scriptscriptstyle vdw in a special case when the two heavy atoms are in resonance ascriptscriptstyle_scriptscriptstyle is approximately a constant ascriptscriptstyle_scriptscriptstyle pm r_scriptscriptstyle vdwhl,cond-mat
