abstract,categories
several methods have been proposed to estimate the number of clusters in a dataset the basic ideal behind all of them has been to study an index that measures intercluster separation and intracluster cohesion over a range of cluster numbers and report the number which gives an optimum value of the index in this paper we propose a simple parameter free approach that is like human cognition to form clusters where closely lying points are easily identified to form a cluster and total number of clusters are revealed to identify closely lying points affinity of two points is defined as a function of distance and a threshold affinity is identified above which two points in a dataset are likely to be in the same cluster well separated clusters are identified even in the presence of outliers whereas for not so well separated dataset final number of clusters are estimated and the detected clusters are merged to produce the final clusters experiments performed with several large dimensional synthetic and real datasets show good results with robustness to noise and density variation within dataset,cs
electromagnetic waves follow linear paths in homogenous index media with the exception of band edges in this study we introduced spatially distorted photonic crystals dpcs that are capable of beamsteering light waves even when a homogeneous refractive index is maintained we analyzed their equifrequency contours to investigate the correspondence between the direction of distortion and the direction of the group velocity vector in the dpc thereafter we experimentally verified the beamsteering phenomenon in the terahertz range using an allsilicon dpc our structures serve as onchip beam trajectory control without the need for any speciallyengineered materials using only lattice distortion,physics
the degree to which gamma ray bursts are collimated is now the dominant uncertainty in their energy requirements and event rates in this review i begin with the reasons for studying grb collimation then discuss existing tests for collimation and their applications to date and finally outline some possible future tests the most important conclusions are that mean collimation angles much tighter than degree appear ruled out the collimation angle appears to vary from burst to burst like most other grb properties some alternative explanations of apparent collimation signatures remain but it should be possible to distinguish them from true collimation with future data sets and may be possible already new satellites improved followup observations and new tests for collimation all promise continued rapid progress in coming years,astro-ph
a scheme of adiabatic crosspolarization is described it is based on demagnetization remagnetization when the zeeman order of abundant nuclei in the laboratory frame is first adiabatically converted into the dipolar order and then into the zeeman order of rare nuclei the scheme implemented with two lowpower frequencysweeping pulses is very efficient for static samples and can significantly increase polarization of rare nuclei compared to the conventional hartmannhahn crosspolarization the experimental examples are presented for solids liquid crystal and molecules in a liquidcrystalline solvent,cond-mat
pure hadronic compact stars above a threshold value of their gravitational mass central pressure are metastable to the conversion to quark stars hybrid or strange stars in this paper we present a systematic study of the metastability of pure hadronic compact stars using different relativistic models for the equation of state eos in particular we compare results for the quarkmeson coupling qmc model with those for the glendenningmoszkowski parametrization of the nonlinear walecka model nlwm for qmc model we find large values m_cr m_odot for the critical mass of the hadronic star sequence and we find that the formation of a quark star is only possible with a soft quark matter eos for the glendenningmoszkowski parametrization of the nlwm we explore the effect of different hyperon couplings on the critical mass and on the stellar conversion energy we find that increasing the value of the hyperon coupling constants shifts the bulk transition point for quark deconfinement to higher densities increases the stellar metastability threshold mass and the value of the critical mass and thus makes the formation of quark stars less likely for the largest values of the hyperon couplings we find a critical mass which may be as high as m_odot these stellar configurations which contain a large central hyperon fraction f_ycr sim would be able to describe highlymassive compact stars such as the one associated to the millisecond pulsars psr bb with a mass m _ m_odot,astro-ph
we present measurements of the nearinfrared calcium ii triplet cat cat paschen pat and magnesium mgi indices for a wellstudied sample of bulges of early to intermediate spiral galaxies we find that both the cat and cat indices decrease with central velocity dispersion sigma with small scatter this dependence is similar to that recently found by cenarro for elliptical galaxies implying an uniform cat sigma relation that applies to galaxies from ellipticals to intermediatetype spirals the decrease of cat and cat with sigma contrasts with the wellknown increase of another alphaelement index mg_ with sigma we discuss the role of ca underabundance cafe and imf variations in the onset of the observed relations,astro-ph
recently neural radiance fields nerf is revolutionizing the task of novel view synthesis nvs for its superior performance in this paper we propose to synthesize dynamic scenes extending the methods for static scenes to dynamic scenes is not straightforward as both the scene geometry and appearance change over time especially under monocular setup also the existing dynamic nerf methods generally require a lengthy perscene training procedure where multilayer perceptrons mlp are fitted to model both motions and radiance in this paper built on top of the recent advances in voxelgrid optimization we propose a fast deformable radiance field method to handle dynamic scenes our method consists of two modules the first module adopts a deformation grid to store d dynamic features and a lightweight mlp for decoding the deformation that maps a d point in the observation space to the canonical space using the interpolated features the second module contains a density and a color grid to model the geometry and density of the scene the occlusion is explicitly modeled to further improve the rendering quality experimental results show that our method achieves comparable performance to dnerf using only minutes for training which is more than x faster than dnerf clearly demonstrating the efficiency of our proposed method,cs
we investigate the particular properties of the stable category of modules over a finite dimensional cocommutative graded connected hopf algebra a via tensortriangulated geometry this study requires some mild conditions on the hopf algebra a under consideration satisfied for example by all finite subhopfalgebras of the modulo steenrod algebra in particular we study some particular covers of its spectrum of prime ideals mathrmspca which are related to margolis work we then exploit the existence of margolis postnikov towers in this situation to show that the localization at an open subset u of mathrmspca for various u assembles in an inftystack finally we turn to applications in the study of picard groups of hopf algebras and localizations in the stable categories of modules,math
in this paper we consider the existence of a factorization of a monic bounded motion polynomial we prove existence of factorizations possibly after multiplication with a real polynomial and provide algorithms for computing polynomial factor and factorizations the first algorithm is conceptually simpler but may require a high degree of the polynomial factor the second algorithm gives an optimal degree,cs
we study turnbyturn fluctuations in the number of spontaneously emitted photons from an undulator installed in the integrable optics test accelerator iota electron storage ring at fermilab a theoretical model is presented showing the relative contributions due to the discrete nature of light emission and to the incoherent sum of fields from different electrons in the bunch the model is compared with a previous experiment at brookhaven and with new experiments we carried out at iota our experiments focused on the case of a large number of longitudinal and transverse radiation modes a regime where photon shot noise is significant and the total magnitude of the fluctuations is very small the experimental and data analysis techniques required to reach the desired sensitivity are detailed we discuss how the model and the experiment provide insights into this emission regime enable diagnostics of small beam sizes and improve our understanding of beam lifetime in iota,physics
